cluster_id,size,top_factor,best_res_ic_ir,candidates
1,2,x_open_interest,0.6842607299377031,x_open_interest | x_open_interest_1
2,5,x_price_volume_trend,0.6794794569164354,x_price_volume_trend | x_price_volume_trend_1
3,2,x_volume_profile_indicator,0.5007951212611137,x_volume_profile_indicator | x_volume_profile_indicator_1
4,9,x_money_flow_index,0.528504155387219,x_money_flow_index | x_money_flow_ratio
5,6,x_ma_ret_20h,0.9195515750740044,x_ma_ret_20h | x_ma_ret_12h
6,4,x_high_low_ratio_1,0.9014477298690889,x_high_low_ratio_1 | x_high_low_ratio
7,2,x_liquidity_indicator,0.6316404001899154,x_liquidity_indicator | x_liquidity_indicator_1
8,2,x_is_night,0.8089060895640174,x_is_night | x_is_night_1
9,2,x_session_sin,0.7948574747264453,x_session_sin | x_volume_ma_ratio_1
10,8,x_spread_20h,1.003318509872821,x_spread_20h | x_spread_12h
11,2,x_ma_afternoon_ret,0.4968971920272735,x_ma_afternoon_ret | x_ma_afternoon_ret_1
12,6,x_ma_ret_6h,0.7674199613024902,x_ma_ret_6h | x_ma_ret_8h
