datetime,date,time,prediction,actual_return,strategy_return,daily_volume,position,cumulative_value,price,is_switch,signal,price_return
2020-01-02 14:59:00,2020-01-02,14:59,0.001204805432970794,0.0,0.0,0,0.0,1.0,6344.0,False,0.0,0.0
2020-01-02 22:59:00,2020-01-02,22:59,0.001450078348949765,0.006935687263556201,0.0,1,0.0,1.0,6388.0,False,0.0,0.006935687263556201
2020-01-03 11:29:00,2020-01-03,11:29,0.0013507583536247563,-0.003130870381966133,-0.0,0,0.0,1.0,6368.0,False,0.0,-0.003130870381966133
2020-01-03 14:59:00,2020-01-03,14:59,0.0016625248849013899,-0.00816582914572861,-0.0,0,0.0,1.0,6316.0,False,0.0,-0.00816582914572861
2020-01-06 11:29:00,2020-01-06,11:29,-0.002314950332466288,0.011082963901203335,0.0,0,0.0,1.0,6386.0,False,0.0,0.011082963901203335
2020-01-06 14:59:00,2020-01-06,14:59,0.0014920573406127474,-0.008142812402129662,-0.0,1,0.0,1.0,6334.0,False,0.0,-0.008142812402129662
2020-01-06 22:59:00,2020-01-06,22:59,0.00219751862143617,-0.009156930849384293,-0.0,1,0.0,1.0,6276.0,False,0.0,-0.009156930849384293
2020-01-07 11:29:00,2020-01-07,11:29,0.0004777945274219947,0.008922880815806167,0.0,0,0.0,1.0,6332.0,False,0.0,0.008922880815806167
2020-01-07 14:59:00,2020-01-07,14:59,0.0009635459781404524,0.0037902716361339905,0.0,0,0.0,1.0,6356.0,False,0.0,0.0037902716361339905
2020-01-07 22:59:00,2020-01-07,22:59,0.0021198456969112813,-0.0009439899307740474,-0.0,0,0.0,1.0,6350.0,False,0.0,-0.0009439899307740474
2020-01-08 11:29:00,2020-01-08,11:29,0.001729658989267312,-0.0047244094488189115,-0.0,0,0.0,1.0,6320.0,False,0.0,-0.0047244094488189115
2020-01-08 14:59:00,2020-01-08,14:59,0.0011803081388307075,-0.0022151898734177333,-0.0,0,0.0,1.0,6306.0,False,0.0,-0.0022151898734177333
2020-01-08 22:59:00,2020-01-08,22:59,0.0011409797213586524,0.005074532191563508,0.0,0,0.0,1.0,6338.0,False,0.0,0.005074532191563508
2020-01-09 11:29:00,2020-01-09,11:29,0.0008578983167750668,0.004102240454401995,0.0,0,0.0,1.0,6364.0,False,0.0,0.004102240454401995
2020-01-09 14:59:00,2020-01-09,14:59,0.0009687918835816997,0.0028284098051540862,0.0,0,0.0,1.0,6382.0,False,0.0,0.0028284098051540862
2020-01-09 22:59:00,2020-01-09,22:59,0.0020281003476503453,0.0006267627702913892,0.0,0,0.0,1.0,6386.0,False,0.0,0.0006267627702913892
2020-01-10 11:29:00,2020-01-10,11:29,0.0014199395696495132,-0.0028186658315064728,-0.0,0,0.0,1.0,6368.0,False,0.0,-0.0028186658315064728
2020-01-10 14:59:00,2020-01-10,14:59,-0.001279817526949762,0.01570351758793964,0.0,0,0.0,1.0,6468.0,False,0.0,0.01570351758793964
2020-01-13 11:29:00,2020-01-13,11:29,0.0010416658706891096,-0.017006802721088454,-0.0,1,0.0,1.0,6358.0,False,0.0,-0.017006802721088454
2020-01-13 14:59:00,2020-01-13,14:59,0.0007325942288253172,0.004089336269267108,0.0,1,0.0,1.0,6384.0,False,0.0,0.004089336269267108
2020-01-13 22:59:00,2020-01-13,22:59,0.0027637691986834253,-0.01253132832080206,-0.0,0,0.0,1.0,6304.0,False,0.0,-0.01253132832080206
2020-01-14 11:29:00,2020-01-14,11:29,0.0019979078106509367,-0.005710659898477188,-0.0,0,0.0,1.0,6268.0,False,0.0,-0.005710659898477188
2020-01-14 14:59:00,2020-01-14,14:59,0.0017896294743711635,-0.007338864071474105,-0.0,0,0.0,1.0,6222.0,False,0.0,-0.007338864071474105
2020-01-14 22:59:00,2020-01-14,22:59,0.001425421861212924,0.004500160720025681,0.0,0,0.0,1.0,6250.0,False,0.0,0.004500160720025681
2020-01-15 11:29:00,2020-01-15,11:29,0.0016831201133383224,-0.00031999999999998696,-0.0,0,0.0,1.0,6248.0,False,0.0,-0.00031999999999998696
2020-01-15 14:59:00,2020-01-15,14:59,0.0032430605609866576,-0.012804097311139517,-0.0,0,0.0,1.0,6168.0,False,0.0,-0.012804097311139517
2020-01-15 22:59:00,2020-01-15,22:59,0.002417083690859983,-0.0012970168612191912,-0.0,0,0.0,1.0,6160.0,False,0.0,-0.0012970168612191912
2020-01-16 11:29:00,2020-01-16,11:29,0.0021105163785334912,-0.0012987012987012436,-0.0,0,0.0,1.0,6152.0,False,0.0,-0.0012987012987012436
2020-01-16 14:59:00,2020-01-16,14:59,0.0027256552624295893,-0.007152145643693153,-0.0,0,0.0,1.0,6108.0,False,0.0,-0.007152145643693153
2020-01-16 22:59:00,2020-01-16,22:59,0.002779258948994281,0.0009823182711199419,0.0,0,0.0,1.0,6114.0,False,1.0,0.0009823182711199419
2020-01-17 11:29:00,2020-01-17,11:29,0.002114112028360408,0.003271180896303516,0.003271180896303516,0,1.0,1.0032711808963035,6134.0,False,1.0,0.003271180896303516
2020-01-17 14:59:00,2020-01-17,14:59,0.002275050859509189,-0.0016302575806977915,-0.0016302575806977915,0,1.0,1.0016409233156058,6124.0,False,1.0,-0.0016302575806977915
2020-01-20 11:29:00,2020-01-20,11:29,0.00018036461602677752,-0.003919007184846501,-0.003919007184846501,0,1.0,0.9977219161307592,6100.0,False,1.0,-0.003919007184846501
2020-01-20 14:59:00,2020-01-20,14:59,0.0022252321878254455,0.0006557377049181135,0.0006557377049181135,0,1.0,0.9983776538356773,6104.0,False,1.0,0.0006557377049181135
2020-01-20 22:59:00,2020-01-20,22:59,0.0012763183285697138,0.0,0.0,0,1.0,0.9983776538356773,6104.0,False,1.0,0.0
2020-01-21 11:29:00,2020-01-21,11:29,0.003143645088273202,-0.020969855832241202,-0.020969855832241202,0,1.0,0.9774077980034361,5976.0,False,1.0,-0.020969855832241202
2020-01-21 14:59:00,2020-01-21,14:59,0.0022675761164283503,-0.012048192771084376,-0.012048192771084376,0,1.0,0.9653596052323518,5904.0,False,1.0,-0.012048192771084376
2020-01-21 22:59:00,2020-01-21,22:59,0.0011070170438866257,0.013211382113821113,0.013211382113821113,0,1.0,0.9785709873461729,5982.0,False,1.0,0.013211382113821113
2020-01-22 11:29:00,2020-01-22,11:29,0.001778648952872827,-0.0016716817118020977,-0.0016716817118020977,0,1.0,0.9768993056343708,5972.0,False,1.0,-0.0016716817118020977
2020-01-22 14:59:00,2020-01-22,14:59,0.0013261241229436485,0.015740120562625526,0.015740120562625526,0,1.0,0.9926394261969963,6066.0,False,1.0,0.015740120562625526
2020-01-22 22:59:00,2020-01-22,22:59,0.002664094409713653,0.01747444774151008,0.01747444774151008,0,1.0,1.0101138739385065,6172.0,False,1.0,0.01747444774151008
2020-01-23 11:29:00,2020-01-23,11:29,0.003331972410181345,-0.01555411535968887,-0.01555411535968887,0,1.0,0.9945597585788175,6076.0,False,1.0,-0.01555411535968887
2020-01-23 14:59:00,2020-01-23,14:59,0.0020548249081987356,0.0026333113890717463,0.0026333113890717463,0,1.0,0.9971930699678893,6092.0,False,1.0,0.0026333113890717463
2020-02-03 11:29:00,2020-02-03,11:29,-0.000988502240895099,-0.06828627708470125,-0.06828627708470125,0,1.0,0.928906792883188,5676.0,False,0.0,-0.06828627708470125
