,factor,ic_ir,residual_ic_ir
0,x_spread_20h,1.0678743750394182,1.003318509872821
1,x_ma_ret_20h,0.930845661021258,0.9195515750740044
2,x_spread_12h,1.055326521008134,0.9176395248269428
3,x_high_low_ratio_1,0.018351814123629337,0.9014477298690889
4,x_high_low_ratio,0.015281832000192284,0.8999478535847228
5,x_ma_ret_12h,0.8415155666652367,0.8720064130196596
6,x_spread_8h,1.016868714193466,0.8390156106061132
7,x_is_night,0.37290319674732725,0.8089060895640174
8,x_session_sin,0.38801300507759234,0.7948574747264453
9,x_ma_ret_6h,0.8328838862196123,0.7674199613024902
10,x_spread_12h_1,0.7643517014163311,0.7666526248130673
11,x_fractal_dimension_1,0.295559657479433,0.7361963951057349
12,x_fractal_dimension,0.32036949959626776,0.7218500505017545
13,x_spread_8h_1,0.6972662036537384,0.6989048664163796
14,x_open_interest,0.2625193491681578,0.6842607299377031
15,x_is_night_1,0.10048412334128246,0.6814244878933641
16,x_price_volume_trend,0.6444370592889309,0.6794794569164354
17,x_open_interest_1,0.26100947366258276,0.679042985434398
18,x_price_volume_trend_1,0.629285004525108,0.6683960463671293
19,x_ma_ret_8h,0.7891414353269542,0.6511707664005469
20,x_ma_ret_8h_1,0.7965668462281765,0.6385730373368731
21,x_spread_20h_1,0.6060656445238666,0.6353010534929675
22,x_liquidity_indicator,0.3067238365560476,0.6316404001899154
23,x_ma_ret_1h,0.4089985073982714,0.5775734287134292
24,x_accumulation_distribution_1,0.5585594737792882,0.541302156688421
25,x_ma_bar_ret,0.6111502429880392,0.5379650947282317
26,x_money_flow_index,0.36576754898821384,0.528504155387219
27,x_money_flow_ratio,0.36576754898821384,0.528504155387219
28,x_spread_6h,0.6861351479716673,0.5240967810780043
29,x_liquidity_indicator_1,0.3725884550988389,0.518274013922101
30,x_ma_ret_12h_1,0.6580167017308566,0.5181288262938485
31,x_accumulation_distribution,0.5391795537607266,0.5048877656453569
32,x_volume_ma_ratio_1,0.05690272681182399,0.5008516223956939
33,x_volume_profile_indicator,0.6449091783771929,0.5007951212611137
34,x_ma_afternoon_ret,0.4819311009135106,0.4968971920272735
35,x_ma_ret_20h_1,0.5974670950772647,0.4882821829835207
36,x_session_sin_1,0.16374900392318265,0.4882114002882289
37,x_ma_ret_6h_1,0.7370913317005278,0.4734007861399791
38,x_volume_profile_indicator_1,0.6081220085737948,0.468995927218475
39,x_vwap_1,0.6945636420811292,0.4535798926889317
40,x_money_flow_index_1,0.2594483869307138,0.4520698432698607
41,x_money_flow_ratio_1,0.2594483869307138,0.4520698432698607
42,x_rsi_14d_1,0.20026178724118363,0.4196007431783691
43,x_spread_6h_1,0.4065435581196845,0.4170461039260065
44,x_stoch_k,0.3678798253479989,0.3903688175516368
45,x_ma_afternoon_ret_1,0.380946147810812,0.388000569832367
46,x_rsi_14d,0.1952882497713621,0.3872771881085273
47,x_stoch_k_1,0.3152741089377742,0.38436283320690995
48,x_kurtosis_1,0.3343611619924466,0.3820504689920969
49,x_stoch_d,0.3193084496555478,0.3819756764922046
50,x_return_5d_1,0.5726249464084046,0.37832290197135393
51,x_ma_ret_2h_1,0.054216810988696566,0.37519243662708235
52,x_aroon_up_1,0.17412536954650154,0.36552417881683713
53,x_vwap_dev_1,0.033945156880882656,0.35974836569654295
54,x_aroon_up,0.109308873751637,0.3590057957671706
